Distribution,FunctionType,WeightFunction,K_Star,ChangeType,ChangeParam,Power,EDD
Gaussian,log,gamma_0.25,450,ar1,0.5,1.0,5.902388369678089
Gaussian,log,gamma_0.45,450,ar1,0.5,1.0,6.571428571428571
Gaussian,log,log,450,ar1,0.5,1.0,9.496
Gaussian,log,gamma_0.0,450,ar1,0.7,1.0,6.043081601621895
Gaussian,log,gamma_0.25,450,ar1,0.7,1.0,5.905036726128017
Gaussian,log,gamma_0.45,450,ar1,0.7,1.0,6.544618712817739
Gaussian,log,log,450,ar1,0.7,1.0,9.540270135067534
Gaussian,log,gamma_0.0,450,ar1,0.9,1.0,6.295939086294417
Gaussian,log,gamma_0.25,450,ar1,0.9,1.0,6.128630705394191
Gaussian,log,gamma_0.45,450,ar1,0.9,1.0,6.796147672552167
Gaussian,log,log,450,ar1,0.9,1.0,9.967
Gaussian,log,gamma_0.0,450,spike,2.0,1.0,10.791476407914764
Gaussian,log,gamma_0.25,450,spike,2.0,1.0,10.56793336803748
Gaussian,log,gamma_0.45,450,spike,2.0,1.0,11.814558979808714
Gaussian,log,log,450,spike,2.0,1.0,17.1925
Gaussian,log,gamma_0.0,450,spike,2.5,1.0,10.19197562214322
Gaussian,log,gamma_0.25,450,spike,2.5,1.0,9.992681651855724
Gaussian,log,gamma_0.45,450,spike,2.5,1.0,11.189247311827957
Gaussian,log,log,450,spike,2.5,1.0,16.2605
Gaussian,log,gamma_0.0,450,spike,3.0,1.0,10.063355296502788
Gaussian,log,gamma_0.25,450,spike,3.0,1.0,9.87061288632792
Gaussian,log,gamma_0.45,450,spike,3.0,1.0,11.028861571352218
Gaussian,log,log,450,spike,3.0,1.0,15.9565
Gaussian,log,gamma_0.0,450,spike,3.5,1.0,9.675165731769505
Gaussian,log,gamma_0.25,450,spike,3.5,1.0,9.47696335078534
Gaussian,log,gamma_0.45,450,spike,3.5,1.0,10.599244875943905
Gaussian,log,log,450,spike,3.5,1.0,15.2645
Gaussian,log,gamma_0.0,450,spike,4.0,1.0,9.257491112239716
Gaussian,log,gamma_0.25,450,spike,4.0,1.0,9.071615263983272
Gaussian,log,gamma_0.45,450,spike,4.0,1.0,10.099893730074388
Gaussian,log,log,450,spike,4.0,1.0,14.692
Gaussian,log,gamma_0.0,550,inflation,1.1,1.0,75.64644351464435
Gaussian,log,gamma_0.25,550,inflation,1.1,1.0,84.50187065740246
Gaussian,log,gamma_0.45,550,inflation,1.1,0.9995,112.05929919137466
Gaussian,log,log,550,inflation,1.1,1.0,109.45991983967936
Gaussian,log,gamma_0.0,550,inflation,1.2,1.0,33.835929387331255
Gaussian,log,gamma_0.25,550,inflation,1.2,1.0,36.49946921443737
Gaussian,log,gamma_0.45,550,inflation,1.2,1.0,45.035021551724135
Gaussian,log,log,550,inflation,1.2,1.0,49.330665332666335
Gaussian,log,gamma_0.0,550,inflation,1.3,1.0,22.182194616977224
Gaussian,log,gamma_0.25,550,inflation,1.3,1.0,23.594080338266384
Gaussian,log,gamma_0.45,550,inflation,1.3,1.0,28.613232920925228
Gaussian,log,log,550,inflation,1.3,1.0,32.173
Gaussian,log,gamma_0.0,550,inflation,1.4,1.0,16.600206611570247
Gaussian,log,gamma_0.25,550,inflation,1.4,1.0,17.682154171066525
Gaussian,log,gamma_0.45,550,inflation,1.4,1.0,21.228740581270184
Gaussian,log,log,550,inflation,1.4,1.0,24.165165165165167
Gaussian,log,gamma_0.0,550,inflation,1.5,1.0,13.2711157455683
Gaussian,log,gamma_0.25,550,inflation,1.5,1.0,14.04162219850587
Gaussian,log,gamma_0.45,550,inflation,1.5,1.0,16.836012861736336
Gaussian,log,log,550,inflation,1.5,1.0,19.1305
Gaussian,log,gamma_0.0,550,ar1,0.1,1.0,6.993746743095362
Gaussian,log,gamma_0.25,550,ar1,0.1,1.0,7.384244372990354
Gaussian,log,gamma_0.45,550,ar1,0.1,1.0,8.691472026072786
Gaussian,log,log,550,ar1,0.1,1.0,9.97
Gaussian,log,gamma_0.0,550,ar1,0.3,1.0,6.991155046826223
Gaussian,log,gamma_0.25,550,ar1,0.3,1.0,7.3500266382525306
Gaussian,log,gamma_0.45,550,ar1,0.3,1.0,8.633947939262473
Gaussian,log,log,550,ar1,0.3,1.0,9.965965965965966
Gaussian,log,gamma_0.0,550,ar1,0.5,1.0,6.930026109660575
Gaussian,log,gamma_0.25,550,ar1,0.5,1.0,7.271474019088017
Gaussian,log,gamma_0.45,550,ar1,0.5,1.0,8.602254428341384
Gaussian,log,log,550,ar1,0.5,1.0,9.930965482741371
Gaussian,log,gamma_0.0,550,ar1,0.7,1.0,7.13164687661332
Gaussian,log,gamma_0.25,550,ar1,0.7,1.0,7.471827277514481
Gaussian,log,gamma_0.45,550,ar1,0.7,1.0,8.840750670241286
Gaussian,log,log,550,ar1,0.7,1.0,10.200600300150075
Gaussian,log,gamma_0.0,550,ar1,0.9,1.0,7.190376569037657
Gaussian,log,gamma_0.25,550,ar1,0.9,1.0,7.553714591127739
Gaussian,log,gamma_0.45,550,ar1,0.9,1.0,8.942903752039152
Gaussian,log,log,550,ar1,0.9,1.0,10.363863863863864
Gaussian,log,gamma_0.0,550,spike,2.0,1.0,12.58143153526971
Gaussian,log,gamma_0.25,550,spike,2.0,1.0,13.303364879074659
Gaussian,log,gamma_0.45,550,spike,2.0,1.0,15.838622915545992
Gaussian,log,log,550,spike,2.0,1.0,18.135567783891947
Gaussian,log,gamma_0.0,550,spike,2.5,1.0,12.073996873371547
Gaussian,log,gamma_0.25,550,spike,2.5,1.0,12.768092974115161
Gaussian,log,gamma_0.45,550,spike,2.5,1.0,15.211777417612101
Gaussian,log,log,550,spike,2.5,1.0,17.46623311655828
Gaussian,log,gamma_0.0,550,spike,3.0,1.0,11.64654282765738
Gaussian,log,gamma_0.25,550,spike,3.0,1.0,12.305057955742887
Gaussian,log,gamma_0.45,550,spike,3.0,1.0,14.672210300429185
Gaussian,log,log,550,spike,3.0,1.0,16.806613226452907
Gaussian,log,gamma_0.0,550,spike,3.5,1.0,11.318158303155716
Gaussian,log,gamma_0.25,550,spike,3.5,1.0,11.950871632329635
Gaussian,log,gamma_0.45,550,spike,3.5,1.0,14.222462203023758
Gaussian,log,log,550,spike,3.5,1.0,16.294294294294293
Gaussian,log,gamma_0.0,550,spike,4.0,1.0,10.659090909090908
Gaussian,log,gamma_0.25,550,spike,4.0,1.0,11.27181385510312
Gaussian,log,gamma_0.45,550,spike,4.0,1.0,13.4
Gaussian,log,log,550,spike,4.0,1.0,15.42
Gaussian,mix,gamma_0.0,350,inflation,1.1,0.9985,98.90135202804207
Gaussian,mix,gamma_0.25,350,inflation,1.1,0.9955,91.73641442356526
Gaussian,mix,gamma_0.45,350,inflation,1.1,0.9705,107.91526344378056
Gaussian,mix,log,350,inflation,1.1,0.987,194.3485309017224
Gaussian,mix,gamma_0.0,350,inflation,1.2,1.0,37.21710855427714
Gaussian,mix,gamma_0.25,350,inflation,1.2,1.0,31.51951343132286
Gaussian,mix,gamma_0.45,350,inflation,1.2,1.0,31.86663124335813
Gaussian,mix,log,350,inflation,1.2,1.0,67.3525
Gaussian,mix,gamma_0.0,350,inflation,1.3,1.0,23.32366183091546
Gaussian,mix,gamma_0.25,350,inflation,1.3,1.0,19.2
Gaussian,mix,gamma_0.45,350,inflation,1.3,1.0,18.865892291446674
Gaussian,mix,log,350,inflation,1.3,1.0,41.274
Gaussian,mix,gamma_0.0,350,inflation,1.4,1.0,17.12912912912913
Gaussian,mix,gamma_0.25,350,inflation,1.4,1.0,14.092432706957847
Gaussian,mix,gamma_0.45,350,inflation,1.4,1.0,13.629433562731604
Gaussian,mix,log,350,inflation,1.4,1.0,29.8745
Gaussian,mix,gamma_0.0,350,inflation,1.5,1.0,13.735102653980972
Gaussian,mix,gamma_0.25,350,inflation,1.5,1.0,11.211567732115677
Gaussian,mix,gamma_0.45,350,inflation,1.5,1.0,10.784877529286476
Gaussian,mix,log,350,inflation,1.5,1.0,23.624
Gaussian,mix,gamma_0.0,350,ar1,0.1,1.0,6.8545
Gaussian,mix,gamma_0.25,350,ar1,0.1,1.0,5.536980749746707
